编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
181,海豹战士,海盗精灵,圆润的身躯游得飞快，皮肤非常滑溜，十次抓捕中九次都要被它溜走。喜欢被紧挨着或被挤压着的感觉，经常成群结队地出没，迷路的时候，也会一整群一起迷路。,身经百练-己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,武-水,481,72,91,87,89,62,80,1,0,,0.64-0.92,69.5-87.6,动物组-两栖组,雄性 50% / 雌性 50%,海豹战士进化链,否,否,否
182,海豹船长,海盗精灵,由聪慧且经验丰富的海豹战士进化而来，拥有极强的领地意识。这一物种对征服有极端的渴望，认为其他精灵都要臣服于它们。会指挥手下的海豹战士战斗。,身经百练-己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,武-水,600,90,113,109,111,77,100,2,40,,1.26-1.8,145.0-165.0,动物组-两栖组,雄性 50% / 雌性 50%,海豹战士进化链,否,否,否
183,号儿鱼,小号精灵,拥有中空结构的尾巴，空气和水流过的时候会发出小号一样响亮的声音。非常喜欢社交的生物，经常举办盛大的音乐会，不同的小号精灵会轮流展示自己的音乐才华，创造出令人惊叹的合奏。,泛音列-使用状态技能后，敌方获得「聒噪」技能的效果，持续3回合。,水,438,90,24,76,76,88,84,1,0,,0.31-0.42,3.9-5.25,海洋组-妖精组,雄性 50% / 雌性 50%,号儿鱼进化链,否,否,否
184,圆号鱼,圆号精灵,会专门去矿物质丰富的水域，通过吸收矿物质来调整背部结构，达到调音的目的。群居，每天早上起来一齐练声，巨大的合奏声能唤醒周围水域的所有生物，喜欢安静的精灵们不愿意住在它们旁边。,泛音列-使用状态技能后，敌方获得「聒噪」技能的效果，持续3回合。,水,549,113,31,95,95,110,105,2,36,,0.79-0.98,10.9-15.8,海洋组-妖精组,雄性 50% / 雌性 50%,号儿鱼进化链,否,否,否
185,甜田螺,硬壳精灵,它们进食较少，通过经常睡觉来维持体内养分的平衡。只有在海水退潮时才偶尔会出现在沙滩上，在醒着的时候才会立起来，每天大概只有五分之一的时间是醒着的。,守护者-己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,水-萌,393,68,67,70,54,80,54,1,0,,0.41-0.58,7.5-9.4,妖精组-软体组,雌性 100%,甜田螺进化链,否,否,否
186,壳乙螺,硬壳精灵,生活在螺壳里，似乎对壳外面的世界不太关心，多数时间都躲在壳内睡觉，对食物的香味比较敏感，可以用食物引诱出来。,守护者-己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,水-萌,525,91,89,94,72,107,72,2,32,,0.68-0.97,11.05-19.04,妖精组-软体组,雌性 100%,甜田螺进化链,否,否,否
187,卡洛儿,守护精灵,有些呆，不论交给它们什么东西，都会用心地放进自己的壳里。如果能找到办法和它们交流的话，它可能会从螺壳里拿出意想不到的东西作为礼物。,守护者-己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,水-萌,657,114,112,117,90,134,90,3,44,,0.7-1.0,21.4-25.6,妖精组-软体组,雌性 100%,甜田螺进化链,否,否,否
188,棋棋,棋子精灵,“黄金时代地系部族大多无法运用魔力，但他们有着独特的智慧和精湛的技艺。地系精灵王教他们使用建造之术，地系部族用黑色矿物做出了棋子精灵，用以娱乐”——《黄金时代的地系工匠们·二》,腾挪-攻击技能应对1次后，回满能量和生命，变为棋绮后。,武-地,434,72,100,36,70,56,100,1,0,,0.35-0.47,10.7-14.5,妖精组,雄性 50% / 雌性 50%,棋棋进化链,是,是,否
189,棋骑士,棋子精灵,“棋棋的祖先们曾与地系族人相伴而生，地系部族周围多蛮兽。白天棋棋们陷入沉睡，被当作孩子的玩具，在聚落里四处滚动。夜晚则遵循着古老的指令，纷纷醒来守护着部族，替人们守夜巡逻”——《黄金时代的地系工匠们·三》,腾挪-攻击技能应对1次后，回满能量和生命，变为棋绮后。,武-地,543,90,126,45,88,69,125,2,26,生涯累计击败[棋骑士]3只 + 雄性,0.98-1.35,43.06-60.09,妖精组,雄性 100%,棋棋进化链,是,是,否
190,棋齐垒,棋子精灵,“黑白棋子们有类似铠甲一样的外形，民间传闻中白银骑士团的盔甲就是模仿它们建造的，但也有另外一种说法是地系部族的族人参与了白银骑士团的盔甲制造，真实性都已不可考”——《黄金时代的地系工匠们·五》,保卫-防御技能应对2次后，回满能量和生命，变为棋绮后。,武-地,489,89,94,38,116,77,75,2,26,生涯击败[棋齐垒]3只 + 雄性,1.45-1.71,58.01-70.05,妖精组,雄性 100%,棋棋进化链,是,是,否
191,棋祈督,棋子精灵,“黄金时代过去后，棋棋开始了流浪，保护族人的遗痕行为一直在影响着它们，它们会主动寻找人文聚落，试图融入洛克的社会。也有部分出现在野外，这些野生的棋棋手感不如家养棋棋温润，干巴巴的有些粗糙”——《黄金时代的地系工匠们·八》,好象坏象-状态技能应对1次后，回满能量和生命，变为棋绮后。,武-地,547,126,87,87,90,72,85,2,26,生涯累计击败[棋祈督]3只 + 雄性,0.98-1.35,38.07-47.05,妖精组,雄性 100%,棋棋进化链,是,是,否
192,棋绮后,棋子精灵,“最初只有黑色棋子，后来地系工匠意外发现了光之水晶，打造了白色的棋子。黑白子交替轮班，互不相见，却共同守护地系部族。它们换班对峙时，不同棋子有各自的行走规则，逐渐发展成象棋游戏规则的雏形”——《黄金时代的地系工匠们·四》,渗透-己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,武-地,508,93,84,84,82,75,90,2,26,生涯击败[棋绮后]3只 + 雌性,1.66-1.81,30.01-41.02,妖精组,雌性 100%,棋棋进化链,是,是,否
193,奔波鼠,流浪精灵,毛色杂乱且粗糙，像是融合了泥土、枯叶的颜色，黑色的眼睛透露出机灵的光。它们背着自己的全部家当，在野外长期流浪，一直在路上，从未到达旅途的终点。有着健壮的身躯，但进攻意愿低，只对闪闪发光的东西兴趣浓厚。,奔波命-使用防御技能后，回合结束时脱离。,地,476,82,37,93,74,98,92,1,0,,0.46-0.6,3.71-6.4,动物组-拟人组,雄性 50% / 雌性 50%,奔波鼠进化链,否,否,否
194,流浪鼠,流浪精灵,背后鼓鼓的行囊里是更多捡来的收藏品，闪闪发光的物体对它们有着无与伦比的吸引力。不论是亮晶晶的小石子，闪着微光的菌类，还是洛克不小心遗落的饰品。在劳累之后，它们也会静静地在波光粼粼的水面望着月亮。,奔波命-使用防御技能后，回合结束时脱离。,地,594,103,46,116,92,122,115,2,32,收集10个道具,0.88-1.23,59.6-74.3,动物组-拟人组,雄性 50% / 雌性 50%,奔波鼠进化链,否,否,否
195,呆小路,蛋壳精灵,幼年期较长，主要靠嗅闻、聆听和头上叶子的触觉来获取信息。头顶毛发会散发出爆米花的香味，偶尔引来其他精灵。它们之间用互闻头顶代表问候。,营养液泡-获得增益时，额外获得层数+2。,草-萌,380,52,60,64,68,79,57,1,0,,0.58-0.83,4.5-5.8,动物组-拟人组,雄性 50% / 雌性 50%,呆小路进化链,否,否,否
196,舞动路路,芳香精灵,每只舞动路路都携带着一颗蛋，经常看到它们用头上的毛发擦拭蛋，那是它们最珍视的一部分。蓬松的毛发下看不到眼睛，主要靠头上的叶片来感受环境，身体非常灵活。,营养液泡-获得增益时，额外获得层数+2。,草-萌,507,69,80,86,91,105,76,2,26,,0.69-0.99,7.4-9.1,动物组-拟人组,雄性 50% / 雌性 50%,呆小路进化链,否,否,否
197,白发路路,芳香精灵,白色的毛发覆盖手臂和身体，随身携带的蛋散发出爆米花的香味。能从随身携带的蛋中获得勇气和力量，暂时还不清楚是什么原理。,营养液泡-获得增益时，额外获得层数+2。,草-萌,633,86,100,107,113,132,95,3,40,,0.89-1.27,15.5-21.6,动物组-拟人组,雄性 50% / 雌性 50%,呆小路进化链,否,否,否
198,逗逗,猫精灵,体内充满轻质气体，骨骼与肌肉结构都很轻，因此可以在空中漂浮活动。它通过换气调节气体量与分布，来控制自己上浮或下沉。,鼓气-使用能耗为3的技能时，获得攻防+20%。,萌,384,48,70,64,68,68,66,1,0,,0.3-0.4,0.45-1.53,动物组-巨灵组,雄性 50% / 雌性 50%,逗逗进化链,否,是,否
199,气球猫,气球精灵,外表看起来软萌，但身体其实很结实——长期保持平衡姿态，练出了稳定身体的核心肌肉。暴风雨的时候气球猫们都会紧紧抓着树或灌木，一旦松手便很可能被风吹走。,鼓气-使用能耗为3的技能时，获得攻防+20%。,萌,511,64,93,86,90,90,88,2,20,,0.41-0.59,0.95-2.15,动物组-巨灵组,雄性 50% / 雌性 50%,逗逗进化链,否,是,否
200,梦想三三,猫老师精灵,咻咻咻！听到“喵呜”一声的小洛克们请立刻拿出课本做好，魔法学院开课了！请牢记以下守则：请勿在课堂上投喂助教，请勿拉扯助教的尾巴，请勿对助教发出“嘬嘬嘬”等不尊敬的声音！,鼓气-使用能耗为3的技能时，获得攻防+20%。,萌,641,81,117,107,113,113,110,3,32,,1.18-1.45,12.04-19.04,动物组-巨灵组,雄性 50% / 雌性 50%,逗逗进化链,否,是,否
201,花怨鳗,花精灵,它们的身体具有趋触性，身躯底部会紧贴赖以生存的土地，这让它们有安全感，尤其喜欢湿润的泥土。三朵花常相互缠绕以保持接触，但也因此容易打结。当它们争执时，会发出连绵的铃声。,铃兰晚钟-首次入场时，失去自己一半的当前生命。,地-草,630,232,73,73,110,90,52,1,0,,0.58-0.68,2.9-4.0,海洋组-两栖组,雄性 50% / 雌性 50%,花怨鳗进化链,否,否,否
202,鳗尾兽,花精灵,它们的头部几乎没有视力，主要靠嘴感受气流来调整方向，偶尔会在地表横冲直撞。吼叫时会带动口中的吊钟形花朵震动，发出阵阵钟声。它们和同伴间通过这些声响，彼此交流。,铃兰晚钟-首次入场时，失去自己一半的当前生命。,地-草,788,290,91,91,138,113,65,2,26,,0.79-0.92,19.8-36.5,海洋组-两栖组,雄性 50% / 雌性 50%,花怨鳗进化链,否,否,否
203,伊雷龙,水龙精灵,幼年的小龙喜欢在雨天调皮捣蛋，充满水分的环境令它们十分活跃，在水里游得飞快，小洛克抓也抓不住它们。,嫉妒-蓄力状态下，可以使用任一携带技能。,龙,521,90,73,152,55,79,72,1,0,,0.72-0.94,27.2-34.0,飞龙组,雄性 50% / 雌性 50%,伊雷龙进化链,否,是,否
204,伊兰亚龙,水龙精灵,修长的尾鳍在空气中划过会留下水雾的痕迹，水雾持续存在形成云朵。观测显示，伊兰亚龙停留超过半小时的区域，降雨概率提升67%。干旱季节时，它们会主动迁往缺水的农田上空。,嫉妒-蓄力状态下，可以使用任一携带技能。,龙,651,112,91,190,69,99,90,2,40,,3.65-4.0,168.0-195.0,飞龙组,雄性 50% / 雌性 50%,伊雷龙进化链,否,是,否
205,拉特,沉默精灵,同伴之间经常会打架，用头或者用拳头对撞，每撞一下都会闪着电光。大多数拉特沉默寡言，但正义感十足，拉特们会出手帮助遇到麻烦的洛克和精灵。,噼啪！-入场后首次行动，所选技能使用次数+1。,电,467,67,80,80,62,78,100,1,0,,0.49-0.61,7.7-8.6,妖精组,雄性 80% / 雌性 20%,拉特进化链,否,是,是
206,酷拉,沉默精灵,能利用电能量高速移动，偶尔也会发生意外事故与同类相撞，交流时会发出“噼啪噼啪”的声音。,噼啪！-入场后首次行动，所选技能使用次数+1。,电,583,83,100,100,78,97,125,2,40,,0.99-1.24,19.5-23.5,妖精组,雄性 80% / 雌性 20%,拉特进化链,否,是,是
207,闪电环,负电精灵,总是一副不开心的样子，面对对手的时候会使出全力攻击，不论所处环境有多么危险，只要没电就会立刻陷入昏睡。,防过载保护-每次行动后脱离。,电,335,64,49,49,51,50,72,1,0,,0.37-0.46,2.4-3.1,魔力组,雄性 50% / 雌性 50%,闪电环进化链,否,否,否
208,刺电环,负电精灵,经常三三两两聚集在一起互相充电。情绪也会随着电力在同伴之间传播，群聚在一起容易变得更不开心，靠近后能听到此起彼伏的电流杂音，偶尔还有“呜呜”的声音。,防过载保护-每次行动后脱离。,电,446,85,65,65,68,67,96,2,28,,0.58-0.73,10.16-16.74,魔力组,雄性 50% / 雌性 50%,闪电环进化链,否,否,否
209,荆棘电环,负电精灵,总是会发出意义不明的“哔哔”声，似乎使用这种声音诱敌。表情看起来更加痛苦了，仿佛电力在体内循环本身就是一种负担。,防过载保护-每次行动后脱离。,电,557,106,81,81,85,84,120,3,40,,0.78-0.98,29.5-34.3,魔力组,雄性 50% / 雌性 50%,闪电环进化链,否,否,否
210,小箱怪,拟态精灵,被当作具有自我意识的宝箱，又因为与宝箱形似，变成了象征宝箱的吉祥物精灵。有些洛克会对着小箱怪祈祷好运，甚至向它投掷洛克贝许愿。,虚假宝箱-自己力竭时，敌方获得攻防+20%。,机械-幻,625,111,103,103,122,122,64,1,0,,0.34-0.46,4.45-6.81,机械组-妖精组,雄性 50% / 雌性 50%,小箱怪进化链,否,否,否
211,迷迷箱怪,拟态精灵,它们并不追逐也不恐吓，只是静静地埋伏，等待小洛克伸手想要开宝箱时，才会突然袭击。因此老练的魔法师们会说：“冒险不难，难的是抵达终点时敢不敢伸手。”,虚假宝箱-自己力竭时，敌方获得攻防+20%。,机械-幻,782,138,129,129,153,153,80,2,36,,0.64-0.72,18.02-24.4,机械组-妖精组,雄性 50% / 雌性 50%,小箱怪进化链,否,否,否
212,古钟蛇,拨浪鼓精灵,通常低伏身体，隐藏在草丛中，只露出尾巴发出咚咚咚的轻响，吸引好奇的精灵过来。其尾部的结构可以在摇晃时发出咚咚的鼓声，据说玄玉岛的洛克以此为灵感，制作出了某种广受欢迎的玩具。,拨浪鼓-己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,萌-毒,458,85,69,69,64,91,80,1,0,,0.95-1.1,6.9-7.8,动物组-两栖组,雄性 50% / 雌性 50%,古钟蛇进化链,否,否,否
213,寒音蛇,拨浪鼓精灵,拥有能分泌毒液的特殊腺体，能够通过背部空心管状的骨棘发射毒液，致使猎物晕厥。毒液会散发出腐臭的气味，有精灵或洛克靠近查看味道来源时，会猛然跃起扑击。,拨浪鼓-己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,萌-毒,574,106,87,87,80,114,100,2,38,,1.85-2.0,65.0-78.0,动物组-两栖组,雄性 50% / 雌性 50%,古钟蛇进化链,否,否,否
214,矮脚爬爬,蜘蛛精灵,足较短，翻倒后很难再顺利站起来。野外发现的矮脚爬爬里面十个有八个正在努力翻身。因为可爱的外表而受到许多小洛克的喜爱，但受惊时会咬人，致使王国只能贴出告示，警告大家不要轻易触碰。,振奋虫心-主动击败敌方后，己方队伍获得5次随机奉献。,虫,556,80,118,109,86,71,92,1,0,,0.28-0.44,3.3-4.2,昆虫组-巨灵组,雄性 50% / 雌性 50%,矮脚爬爬进化链,否,否,否
215,恶魔红钻,蜘蛛精灵,喜欢在洞穴的暗处歇息，会提前布好精细且带有剧毒的网守株待兔。步足末端布满危险的剧毒，尖锐而坚硬的触足既能用作进攻的矛，也能用作防御的盾。,振奋虫心-主动击败敌方后，己方队伍获得5次随机奉献。,虫-恶,696,100,147,137,108,89,115,2,36,,1.32-1.55,42.5-62.0,昆虫组-巨灵组,雄性 50% / 雌性 50%,矮脚爬爬进化链,否,否,否
216,火尾瓦特,利爪精灵,全身被毛又干燥又粗糙，容易产生静电现象，甚至偶尔冒出火星。它的利爪有可能是打火石，连续抓挠树木的话可能会将树木点燃。,蒸汽膨胀-己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,火,338,63,70,29,81,56,39,1,0,,0.64-0.92,18.5-21.2,巨灵组,雄性 50% / 雌性 50%,火尾瓦特进化链,否,否,否
